Name,GLC 2018 200,GLC 2018 220d 4MATIC,GLC 2018 250 4MATIC,GLC 2018 250 4MATIC 運動版,GLC 2018 43 AMG 4MATIC,GLC 2018 63 AMG 4MATIC+
最大馬力,184hp@5500rpm,170hp@3000~4200rpm,211hp@5500rpm,211hp@5500rpm,367hp@5500~6000rpm,476hp@5500~6250rpm
最大扭力,30.6kgm@1200~4000rpm,40.8kgm@1400~2800rpm,35.7kgm@1200~4000rpm,35.7kgm@1200~4000rpm,53kgm@2500~4500rpm,66.3kgm@1750~4500rpm
驅動型式,後輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,多連桿,雙A臂,多連桿
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/60 R18,235/60 R18,235/60 R18,235/55 R19,255/45 R20,265/45R20
後輪尺碼,235/60 R18,235/60 R18,235/60 R18,235/55 R19,285/40 R20,295/40R20
引擎擺放位置,前置,前置,前置,前置,前置,前置
電動天窗,○,○,○,●,●,●
運動外觀套件,-,●,●,●,●,●
電動開闔尾門/行李蓋,●,●,●,●,●,●
車頂行李架,●,●,●,●,●,●
輪圈規格,18吋,18吋,18吋,19吋,20吋,20吋
後雨刷,●,●,●,●,●,●
感應式雨刷,●,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●,-
後視鏡加熱/除霧,●,●,●,●,●,-
後視鏡記憶,●,●,●,●,●,-
後視鏡電動折疊,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●
方向盤調整,●,●,●,●,●,●
多功能方向盤,●,●,●,●,●,●
方向盤換檔,●,●,●,●,●,●
動力方向盤,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●
多功能資訊幕,●,●,●,●,●,●
抬頭顯示幕,-,-,○,○,○,-
環景影像系統,○,○,●,●,●,●
Keyless免匙系統,○,○,○,●,●,●
中控鎖,●,●,●,●,●,●
衛星導航,○,○,○,●,●,●
恆溫空調,●,雙區,雙區,雙區,雙區,雙區
後座出風口,●,●,●,●,●,●
車內粉塵過濾,●,●,●,●,●,-
前座正面氣囊,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●
後座側面氣囊,○,○,○,○,○,-
側面氣簾,●,●,●,●,●,●
膝部氣囊,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●
失壓續跑胎,-,-,-,●,-,-
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●,●
煞車輔助系統,BAS/EBD,BAS/EBD,BAS/EBD,BAS/EBD,BAS/EBD,BAS
動態穩定系統,ESP,ESP,ESP,ESP,ESP,ESP
車道偏離警示,○,○,○,○,○,○
循跡系統,●,●,●,●,●,ASR
主動安全預防系統,●,●,●,●,●,●
斜坡起步輔助,-,-,●,●,-,-
定速系統,●,●,●,●,●,●
自動停車系統,●,●,●,●,●,-
盲點偵測系統,●,●,●,●,●,●
駕駛警示系統,-,-,●,●,●,●
倒車雷達,●,●,●,●,●,●
倒車顯影系統,○,○,●,●,●,●
防盜系統,○,○,○,○,●,●
主動式智慧定速系統,○,○,○,○,○,○
氣壓懸吊,○,○,○,○,●,●
電子懸吊,○,○,○,○,●,-
電子差速器,-,-,-,-,-,●
電子手剎車,●,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革,皮革,真皮
跑車式座椅,-,-,-,●,●,●
